date,WY_baseline,WY_impacted,PCH_baseline,PCH_impacted,IP_baseline,IP_impacted,PKG_baseline,PKG_impacted,SLVM_baseline,SLVM_impacted,BCC_baseline,BCC_impacted,LPX_baseline,LPX_impacted,UFP_baseline,UFP_impacted,BECN_baseline,BECN_impacted,IBP_baseline,IBP_impacted,BLDR_baseline,BLDR_impacted,MAS_baseline,MAS_impacted,TREX_baseline,TREX_impacted,AZEK_baseline,AZEK_impacted,DOOR_baseline,DOOR_impacted,PGTI_baseline,PGTI_impacted,ROCK_baseline,ROCK_impacted,UFPI_baseline,UFPI_impacted,CLW_baseline,CLW_impacted,PCA_baseline,PCA_impacted
2026-02-22,25.2735,24.4584,41.7397,40.3936,46.8551,45.344,237.2363,229.5854,48.6464,47.0775,82.0481,79.402,81.2225,78.6031,100.0219,96.7962,100.0219,96.7962,325.8932,315.383,110.458,106.8957,75.1517,72.7281,41.6775,40.3334,100.0219,96.7962,100.0219,96.7962,100.0219,96.7962,52.7734,51.0714,109.7621,106.2222,15.2462,14.7545,100.0219,96.7962
2026-02-23,25.267,23.6372,41.7494,39.0565,46.8401,43.8189,237.2626,221.9591,48.5928,45.4585,81.9663,76.6794,81.1651,75.9299,100.0438,93.5909,100.0438,93.5909,326.357,305.3068,110.366,103.2474,75.1534,70.306,41.6252,38.9403,100.0438,93.5909,100.0438,93.5909,100.0438,93.5909,52.7567,49.3539,109.7541,102.6749,15.2224,14.2406,100.0438,93.5909
2026-02-24,25.2604,22.8165,41.7591,37.7188,46.8252,42.2948,237.2889,214.3311,48.5392,43.843,81.8846,73.9622,81.1077,73.2604,100.0657,90.3843,100.0657,90.3843,326.8215,295.2012,110.2742,99.6051,75.1551,67.8838,41.5728,37.5506,100.0657,90.3843,100.0657,90.3843,100.0657,90.3843,52.7401,47.6374,109.7462,99.1282,15.1987,13.7282,100.0657,90.3843
2026-02-25,25.2539,21.9961,41.7688,36.3806,46.8102,40.7717,237.3153,206.7013,48.4858,42.231,81.803,71.2503,81.0503,70.5947,100.0876,87.1762,100.0876,87.1762,327.2866,285.0663,110.1824,95.9688,75.1568,65.4615,41.5206,36.1644,100.0876,87.1762,100.0876,87.1762,100.0876,87.1762,52.7234,45.9221,109.7383,95.5819,15.175,13.2174,100.0876,87.1762
2026-02-26,25.2474,21.1762,41.7785,35.0416,46.7953,39.2495,237.3416,199.0699,48.4323,40.6226,81.7214,68.5437,80.993,67.9327,100.1096,83.9668,100.1096,83.9668,327.7525,274.9019,110.0907,92.3384,75.1586,63.0391,41.4684,34.7815,100.1096,83.9668,100.1096,83.9668,100.1096,83.9668,52.7068,44.2078,109.7304,92.0362,15.1514,12.7082,100.1096,83.9668
2026-02-27,25.2409,20.3567,41.7882,33.7021,46.7804,37.7283,237.3679,191.4368,48.379,39.0176,81.6399,65.8425,80.9357,65.2745,100.1315,80.7559,100.1315,80.7559,328.2189,264.708,109.9991,88.7141,75.1603,60.6166,41.4163,33.4021,100.1315,80.7559,100.1315,80.7559,100.1315,80.7559,52.6902,42.4945,109.7224,88.491,15.1277,12.2005,100.1315,80.7559
2026-02-28,25.2344,19.5377,41.7979,32.3619,46.7655,36.2081,237.3942,183.8021,48.3257,37.4161,81.5585,63.1465,80.8784,62.62,100.1534,77.5436,100.1534,77.5436,328.6861,254.4846,109.9075,85.0957,75.162,58.194,41.3642,32.0261,100.1534,77.5436,100.1534,77.5436,100.1534,77.5436,52.6736,40.7824,109.7145,84.9463,15.1042,11.6944,100.1534,77.5436
2026-03-01,25.2279,18.719,41.8076,31.0211,46.7506,34.6888,237.4206,176.1656,48.2725,35.8181,81.4772,60.4559,80.8212,59.9692,100.1754,74.3299,100.1754,74.3299,329.1539,244.2315,109.816,81.4833,75.1637,55.7713,41.3122,30.6536,100.1754,74.3299,100.1754,74.3299,100.1754,74.3299,52.657,39.0713,109.7066,81.402,15.0806,11.1898,100.1754,74.3299
2026-03-02,25.2214,17.9008,41.8173,29.6797,46.7356,33.1705,237.4469,168.5274,48.2193,34.2235,81.396,57.7706,80.7641,57.3221,100.1973,71.1148,100.1973,71.1148,329.6224,233.9487,109.7246,77.8768,75.1654,53.3485,41.2603,29.2844,100.1973,71.1148,100.1973,71.1148,100.1973,71.1148,52.6403,37.3614,109.6987,77.8584,15.0571,10.6868,100.1973,71.1148
2026-03-03,25.2149,17.083,41.827,28.3377,46.7207,31.6532,237.4733,160.8875,48.1662,32.6324,81.3149,55.0906,80.707,54.6788,100.2193,67.8983,100.2193,67.8983,330.0915,223.6361,109.6333,74.2763,75.1671,50.9255,41.2084,27.9186,100.2193,67.8983,100.2193,67.8983,100.2193,67.8983,52.6237,35.6524,109.6907,74.3152,15.0337,10.1853,100.2193,67.8983
2026-03-04,25.2083,16.2656,41.8367,26.995,46.7058,30.1368,237.4996,153.2459,48.1131,31.0448,81.2338,52.4159,80.6499,52.0391,100.2412,64.6804,100.2412,64.6804,330.5613,213.2937,109.542,70.6817,75.1688,48.5025,41.1566,26.5562,100.2412,64.6804,100.2412,64.6804,100.2412,64.6804,52.6071,33.9446,109.6828,70.7725,15.0102,9.6853,100.2412,64.6804
2026-03-05,25.2018,15.4486,41.8464,25.6517,46.691,28.6214,237.5259,145.6026,48.0601,29.4607,81.1528,49.7464,80.5928,49.4032,100.2632,61.461,100.2632,61.461,331.0318,202.9214,109.4509,67.093,75.1705,46.0793,41.1049,25.1971,100.2632,61.461,100.2632,61.461,100.2632,61.461,52.5906,32.2378,109.6749,67.2304,14.9868,9.1869,100.2632,61.461
2026-03-06,25.1953,14.6321,41.8561,24.3078,46.6761,27.107,237.5523,137.9577,48.0071,27.88,81.0719,47.0822,80.5358,46.7709,100.2851,58.2402,100.2851,58.2402,331.5029,192.5192,109.3598,63.5103,75.1723,43.656,41.0532,23.8415,100.2851,58.2402,100.2851,58.2402,100.2851,58.2402,52.574,30.5321,109.667,63.6887,14.9635,8.69,100.2851,58.2402
2026-03-07,25.1888,13.816,41.8659,22.9633,46.6612,25.5935,237.5786,130.311,47.9543,26.3027,80.9911,44.4233,80.4789,44.1424,100.3071,55.0181,100.3071,55.0181,331.9747,182.0869,109.2687,59.9335,75.174,41.2326,41.0016,22.4892,100.3071,55.0181,100.3071,55.0181,100.3071,55.0181,52.5574,28.8275,109.659,60.1476,14.9401,8.1946,100.3071,55.0181
2026-03-08,25.1823,13.0003,41.8756,21.6181,46.6463,24.081,237.605,122.6626,47.9014,24.7289,80.9103,41.7696,80.422,41.5175,100.3291,51.7945,100.3291,51.7945,332.4472,171.6245,109.1778,56.3626,75.1757,38.8091,40.95,21.1403,100.3291,51.7945,100.3291,51.7945,100.3291,51.7945,52.5408,27.124,109.6511,56.607,14.9169,7.7008,100.3291,51.7945
2026-03-09,25.1758,13.1367,41.8853,21.8556,46.6314,24.3321,237.6313,123.9953,47.8487,24.9673,80.8297,42.1767,80.3651,41.9342,100.3511,52.3629,100.3511,52.3629,332.9204,173.7168,109.0869,56.9212,75.1774,39.2273,40.8986,21.3407,100.3511,52.3629,100.3511,52.3629,100.3511,52.3629,52.5242,27.407,109.6432,57.2115,14.8936,7.7714,100.3511,52.3629
2026-03-10,25.1693,13.2684,41.895,22.0856,46.6166,24.5746,237.6577,125.285,47.796,25.1964,80.7491,42.5681,80.3082,42.3357,100.373,52.9132,100.373,52.9132,333.3942,175.7539,108.9961,57.459,75.1791,39.6318,40.8472,21.5332,100.373,52.9132,100.373,52.9132,100.373,52.9132,52.5077,27.6802,109.6353,57.7959,14.8704,7.8392,100.373,52.9132
2026-03-11,25.1629,13.3957,41.9047,22.3083,46.6017,24.8088,237.6841,126.5331,47.7433,25.4165,80.6686,42.9446,80.2514,42.7225,100.395,53.4461,100.395,53.4461,333.8687,177.7378,108.9054,57.9767,75.1808,40.0231,40.7958,21.718,100.395,53.4461,100.395,53.4461,100.395,53.4461,52.4911,27.9441,109.6274,58.361,14.8472,7.904,100.395,53.4461
2026-03-12,25.1564,13.5185,41.9145,22.524,46.5868,25.0349,237.7104,127.741,47.6907,25.6281,80.5881,43.3065,80.1947,43.0951,100.417,53.9622,100.417,53.9622,334.3439,179.67,108.8147,58.475,75.1825,40.4017,40.7445,21.8953,100.417,53.9622,100.417,53.9622,100.417,53.9622,52.4746,28.1988,109.6194,58.9074,14.8241,7.9662,100.417,53.9622
