date,ZIM_baseline,ZIM_impacted,MATX_baseline,MATX_impacted,KEX_baseline,KEX_impacted,STNG_baseline,STNG_impacted,FRO_baseline,FRO_impacted,INSW_baseline,INSW_impacted,TEN_baseline,TEN_impacted,DHT_baseline,DHT_impacted,NAT_baseline,NAT_impacted,ESEA_baseline,ESEA_impacted,GSL_baseline,GSL_impacted,DAC_baseline,DAC_impacted,CMRE_baseline,CMRE_impacted,SFL_baseline,SFL_impacted,GOGL_baseline,GOGL_impacted,TRMD_baseline,TRMD_impacted,TNP_baseline,TNP_impacted,SBLK_baseline,SBLK_impacted,GNK_baseline,GNK_impacted,HAFNI_baseline,HAFNI_impacted
2026-02-22,29.3228,28.3768,167.8249,162.4102,131.0092,126.7824,71.7083,69.3947,34.7769,33.6549,67.5652,65.3853,31.1854,30.1793,17.4707,16.907,4.9369,4.7776,61.007,59.0387,40.3271,39.026,110.0733,106.522,17.204,16.6489,10.7409,10.3944,100.0219,96.7948,27.4901,26.6032,100.0219,96.7948,25.2734,24.458,23.9928,23.2187,100.0219,96.7948
2026-02-23,29.3758,27.4802,167.8998,157.0657,131.0785,122.6203,71.7566,67.1263,34.8339,32.5862,67.6606,63.2946,31.2209,29.2063,17.4914,16.3627,4.9438,4.6248,61.1343,57.1895,40.3942,37.7877,110.1667,103.058,17.218,16.107,10.7418,10.0487,100.0438,93.5883,27.5102,25.735,100.0438,93.5883,25.3068,23.6738,24.0256,22.4753,100.0438,93.5883
2026-02-24,29.4288,26.5804,167.9748,151.7163,131.1477,118.4538,71.8049,64.8548,34.891,31.5139,67.756,61.1979,31.2564,28.231,17.5121,15.8171,4.9507,4.4716,61.2618,55.3323,40.4615,36.5452,110.2602,99.588,17.2321,15.5642,10.7427,9.7029,100.0657,90.3803,27.5303,24.8656,100.0657,90.3803,25.3403,22.8876,24.0585,21.7298,100.0657,90.3803
2026-02-25,29.4819,25.6772,168.0497,146.3621,131.2171,114.2829,71.8533,62.5803,34.9482,30.438,67.8516,59.0951,31.2919,27.2535,17.5328,15.2701,4.9577,4.3179,61.3897,53.467,40.5289,35.2984,110.3538,96.1121,17.2461,15.0204,10.7436,9.3571,100.0876,87.1709,27.5504,23.9949,100.0876,87.1709,25.3738,22.0992,24.0914,20.9823,100.0876,87.1709
2026-02-26,29.5352,24.7706,168.1248,141.0032,131.2864,110.1075,71.9017,60.3026,35.0055,29.3585,67.9474,56.9862,31.3275,26.2738,17.5536,14.7218,4.9646,4.1637,61.5177,51.5938,40.5964,34.0474,110.4474,92.6302,17.2602,14.4758,10.7445,9.0112,100.1096,83.9601,27.5706,23.123,100.1096,83.9601,25.4074,21.3087,24.1244,20.2327,100.1096,83.9601
2026-02-27,29.5885,23.8607,168.1998,135.6394,131.3558,105.9277,71.9501,58.0219,35.0629,28.2753,68.0433,54.8713,31.3631,25.2918,17.5743,14.1723,4.9716,4.0092,61.6461,49.7125,40.664,32.7922,110.5412,89.1424,17.2742,13.9303,10.7454,8.6653,100.1315,80.7478,27.5908,22.2497,100.1315,80.7478,25.441,20.516,24.1574,19.4809,100.1315,80.7478
2026-02-28,29.6419,22.9474,168.2749,130.2707,131.4253,101.7434,71.9986,55.738,35.1204,27.1886,68.1393,52.7503,31.3988,24.3075,17.5952,13.6214,4.9785,3.8542,61.7747,47.8232,40.7317,31.5326,110.635,85.6485,17.2883,13.3838,10.7463,8.3193,100.1534,77.5342,27.6109,21.3751,100.1534,77.5342,25.4746,19.7213,24.1904,18.7271,100.1534,77.5342
2026-03-01,29.6954,22.0307,168.35,124.8973,131.4947,97.5547,72.0471,53.451,35.1779,26.0982,68.2354,50.6232,31.4345,23.3209,17.616,13.0691,4.9855,3.6987,61.9036,45.9257,40.7996,30.2688,110.7288,82.1487,17.3024,12.8365,10.7472,7.9733,100.1754,74.3192,27.6311,20.4993,100.1754,74.3192,25.5083,18.9244,24.2235,17.9712,100.1754,74.3192
2026-03-02,29.749,21.1107,168.4252,119.519,131.5642,93.3615,72.0956,51.161,35.2356,25.0041,68.3317,48.49,31.4702,22.3321,17.6369,12.5156,4.9925,3.5428,62.0327,44.0201,40.8675,29.0007,110.8228,78.6429,17.3165,12.2883,10.7481,7.6272,100.1973,71.1027,27.6513,19.6221,100.1973,71.1027,25.542,18.1253,24.2567,17.2132,100.1973,71.1027
2026-03-03,29.8027,20.1873,168.5004,114.136,131.6338,89.1639,72.1442,48.8678,35.2933,23.9064,68.4282,46.3507,31.506,21.341,17.6577,11.9607,4.9995,3.3865,62.1622,42.1064,40.9356,27.7283,110.9169,75.131,17.3306,11.7391,10.749,7.281,100.2193,67.8849,27.6716,18.7437,100.2193,67.8849,25.5758,17.3241,24.2899,16.4531,100.2193,67.8849
2026-03-04,29.8565,19.2604,168.5756,108.748,131.7034,84.9618,72.1927,46.5715,35.3512,22.805,68.5247,44.2053,31.5418,20.3476,17.6786,11.4045,5.0065,3.2297,62.2919,40.1845,41.0037,26.4515,111.011,71.6131,17.3447,11.1891,10.7499,6.9348,100.2412,64.6656,27.6918,17.864,100.2412,64.6656,25.6096,16.5208,24.3231,15.6908,100.2412,64.6656
2026-03-05,29.9104,18.3302,168.6508,103.3553,131.773,80.7552,72.2414,44.2721,35.4091,21.7,68.6214,42.0537,31.5777,19.3519,17.6996,10.8469,5.0135,3.0725,62.4218,38.2543,41.072,25.1704,111.1052,68.0893,17.3589,10.6381,10.7508,6.5885,100.2632,61.4449,27.7121,16.9829,100.2632,61.4449,25.6435,15.7153,24.3564,14.9265,100.2632,61.4449
2026-03-06,29.9644,17.3965,168.7261,97.9577,131.8426,76.5442,72.29,41.9696,35.4672,20.5913,68.7183,39.8959,31.6136,18.354,17.7205,10.2881,5.0205,2.9148,62.552,36.316,41.1404,23.885,111.1995,64.5593,17.373,10.0863,10.7517,6.2422,100.2851,58.2228,27.7323,16.1006,100.2851,58.2228,25.6774,14.9076,24.3897,14.16,100.2851,58.2228
2026-03-07,30.0185,16.4594,168.8014,92.5553,131.9123,72.3287,72.3387,39.664,35.5253,19.4788,68.8152,37.732,31.6495,17.3537,17.7415,9.7278,5.0276,2.7567,62.6826,34.3694,41.209,22.5952,111.2938,61.0234,17.3872,9.5335,10.7526,5.8958,100.3071,54.9993,27.7526,15.217,100.3071,54.9993,25.7114,14.0978,24.4231,13.3914,100.3071,54.9993
2026-03-08,30.0727,15.5189,168.8768,87.148,131.982,68.1087,72.3875,37.3552,35.5836,18.3627,68.9123,35.5619,31.6855,16.3511,17.7625,9.1663,5.0346,2.5981,62.8133,32.4145,41.2776,21.3011,111.3883,57.4814,17.4014,8.9799,10.7535,5.5493,100.3291,51.7743,27.7729,14.3321,100.3291,51.7743,25.7454,13.2858,24.4565,12.6206,100.3291,51.7743
2026-03-09,30.127,15.7142,168.9522,88.1251,132.0518,68.878,72.4362,37.7826,35.6419,18.5907,69.0096,35.9953,31.7215,16.5459,17.7836,9.2759,5.0417,2.6297,62.9444,32.8317,41.3463,21.5662,111.4828,58.1492,17.4155,9.0839,10.7544,5.6095,100.3511,52.3429,27.7932,14.4969,100.3511,52.3429,25.7795,13.4465,24.4899,12.7739,100.3511,52.3429
2026-03-10,30.1814,15.9047,169.0276,89.0723,132.1216,69.624,72.485,38.1974,35.7003,18.813,69.107,36.4172,31.7576,16.7353,17.8046,9.3825,5.0487,2.6605,63.0757,33.2389,41.4152,21.8245,111.5774,58.7978,17.4297,9.1849,10.7553,5.6677,100.373,52.8935,27.8135,14.6569,100.373,52.8935,25.8135,13.6029,24.5235,12.9231,100.373,52.8935
2026-03-11,30.2359,16.0904,169.1031,89.9906,132.1914,70.3475,72.5338,38.5999,35.7588,19.0296,69.2045,36.8281,31.7937,16.9195,17.8257,9.4862,5.0558,2.6905,63.2073,33.6367,41.4842,22.0764,111.6721,59.4279,17.4439,9.283,10.7562,5.7241,100.395,53.4266,27.8339,14.8122,100.395,53.4266,25.8477,13.7552,24.557,13.0684,100.395,53.4266
2026-03-12,30.2904,16.2717,169.1785,90.8808,132.2613,71.0493,72.5827,38.9906,35.8175,19.2407,69.3021,37.2283,31.8298,17.0986,17.8468,9.5871,5.0629,2.7197,63.3392,34.0251,41.5533,22.3219,111.7668,60.0399,17.4582,9.3783,10.7571,5.7786,100.417,53.9429,27.8542,14.963,100.417,53.9429,25.8819,13.9034,24.5906,13.2098,100.417,53.9429
